cut,color,clarity,carat,report,shape,price
Super Ideal,F,VVS1,0.33,GIA,Emerald,680.0
Super Ideal,H,VS1,1.6,GIA,Round,11730.0
Super Ideal,H,VVS1,0.57,GIA,Round,1990.0
Super Ideal,E,SI1,0.37,GIA,Emerald,660.0
Ideal,J,SI2,1.71,IGI,Princess,4640.0
Super Ideal,D,IF,1.19,GIA,Round,19610.0
Ideal,F,SI1,0.65,GIA,Oval,1950.0
Super Ideal,D,VS2,0.27,GIA,Round,661.54
Ideal,F,VVS1,0.32,GIA,Emerald,690.0
Super Ideal,J,VVS1,0.65,GIA,Round,1815.0
Good,D,SI1,0.39,GIA,Emerald,660.0
Ideal,F,VS1,0.32,GIA,Pear,630.0
Super Ideal,J,VVS1,1.29,GIA,Round,6760.0
Ideal,E,VS2,0.29,GIA,Emerald,670.0
Ideal,E,SI1,1.2,GIA,Oval,7160.0
Ideal,G,VS2,0.3,GIA,Pear,633.33
Super Ideal,H,VS1,1.51,GIA,Round,10560.0
Good,E,VS1,0.3,GIA,Oval,670.0
Super Ideal,H,VS2,0.77,GIA,Cushion,2460.0
Super Ideal,G,VS1,2.01,GIA,Princess,16865.0
Super Ideal,J,VVS1,0.32,GIA,Round,675.0
Super Ideal,F,IF,0.26,GIA,Round,698.57
Super Ideal,D,SI1,1.03,GIA,Round,7290.0
Very Good,D,VVS2,0.9,GIA,Pear,4510.0
Very Good,G,SI2,0.27,GIA,Round,550.0
Super Ideal,F,SI1,0.26,GIA,Round,530.0
Ideal,G,SI1,0.96,GIA,Heart,3023.33
Very Good,F,VS2,0.47,GIA,Princess,950.0
Ideal,H,SI1,0.42,GIA,Emerald,640.0
Super Ideal,D,IF,1.4,GIA,Round,16810.0
Ideal,G,SI1,1.01,GIA,Princess,4210.0
Very Good,H,VS1,0.6,GIA,Pear,1595.0
Super Ideal,E,VS1,0.81,GIA,Round,4633.33
Ideal,J,SI1,1.7,GIA,Oval,8140.0
Very Good,H,SI1,1.52,GIA,Cushion,8380.0
Super Ideal,F,VS2,1.0,GIA,Princess,4800.0
Ideal,J,SI2,1.01,GIA,Round,3565.0
Ideal,D,SI2,0.31,GIA,Emerald,440.0
Super Ideal,F,SI2,1.02,GIA,Heart,3770.0
Super Ideal,D,VS2,1.52,GIA,Princess,10200.0
Very Good,G,VVS2,1.0,GIA,Cushion,4120.0
Super Ideal,I,IF,0.5,GIA,Emerald,1093.33
Ideal,E,VVS2,0.46,GIA,Round,1625.0
Very Good,F,IF,1.0,GIA,Cushion,4940.0
Super Ideal,D,VS1,0.64,GIA,Round,2893.33
Ideal,I,SI2,0.8,GIA,Oval,2170.0
Super Ideal,J,VS2,2.6,GIA,Round,18750.0
Super Ideal,D,VS2,0.62,GIA,Round,2670.0
Very Good,E,VS1,0.52,GIA,Emerald,1410.0
Super Ideal,H,VVS1,0.85,GIA,Round,4503.33
Super Ideal,I,SI2,0.6,GIA,Round,1385.0
Very Good,E,VS1,0.72,GIA,Emerald,2460.0
Super Ideal,H,VS1,0.8,GIA,Emerald,2630.0
Very Good,F,VS2,1.01,GIA,Heart,4920.0
Very Good,J,VVS2,0.46,GIA,Marquise,1000.0
Ideal,D,VS1,1.0,GIA,Heart,6310.0
Ideal,I,VS2,0.7,GIA,Pear,2010.0
Very Good,D,VS2,0.51,GIA,Pear,1325.0
Ideal,D,SI1,0.93,GIA,Emerald,3440.0
Ideal,D,VS2,0.34,GIA,Oval,750.0
Super Ideal,D,VS1,0.61,GIA,Round,2756.36
Super Ideal,D,VVS1,0.36,GIA,Round,1413.85
