cut,color,clarity,carat,report,shape,price
Ideal,J,SI2,2.04,IGI,Cushion,3330.0
Ideal,G,VS2,2.05,GCAL,Emerald,7870.0
Super Ideal,J,SI1,1.22,IGI,Round,1552.0
Very Good,E,VS1,1.02,IGI,Asscher,2315.0
Very Good,I,SI2,1.5,IGI,Pear,2370.0
Super Ideal,J,VS1,0.56,IGI,Round,590.0
Ideal,G,VS1,1.51,IGI,Radiant,3990.0
Super Ideal,D,VVS2,1.09,IGI,Oval,3260.0
Super Ideal,G,VVS2,2.09,IGI,Heart,7770.0
Super Ideal,G,VVS1,0.9,IGI,Round,2090.0
Ideal,H,VS1,0.55,IGI,Marquise,590.0
Ideal,H,VS2,1.55,IGI,Round,3250.0
Super Ideal,G,VS1,1.27,IGI,Marquise,2600.0
Very Good,D,VS1,0.71,IGI,Pear,1310.0
Very Good,E,VS1,3.08,IGI,Cushion,17050.0
Ideal,H,VVS2,2.08,IGI,Round,7270.0
Super Ideal,J,VVS1,0.76,IGI,Round,910.0
Super Ideal,F,VS1,0.79,IGI,Round,1256.84
Ideal,D,SI1,1.63,IGI,Round,4410.0
Super Ideal,J,VVS1,1.18,IGI,Round,1870.0
Super Ideal,I,SI2,1.7,IGI,Round,2650.0
Super Ideal,J,VVS2,1.7,IGI,Round,3120.0
Ideal,F,VVS2,0.6,IGI,Marquise,790.0
Very Good,F,VVS2,3.0,IGI,Princess,16590.0
Super Ideal,H,VS2,2.02,IGI,Oval,5430.0
Good,F,SI1,0.55,IGI,Emerald,550.0
Super Ideal,E,VS1,1.5,IGI,Oval,4878.57
Super Ideal,G,VS2,2.12,GCAL,Round,6300.0
Good,E,VS2,0.7,IGI,Oval,1085.0
Ideal,H,SI1,3.02,IGI,Emerald,13510.0
Super Ideal,G,VS2,0.74,IGI,Round,990.0
Ideal,I,VS2,1.0,IGI,Round,1740.0
Super Ideal,G,VS2,1.14,IGI,Round,2530.0
Ideal,I,SI1,2.05,IGI,Heart,4030.0
Super Ideal,E,VS2,2.01,IGI,Pear,8440.0
Super Ideal,F,VS2,1.19,IGI,Round,2730.0
Ideal,E,VVS2,0.41,IGI,Round,530.0
Good,E,VS2,1.73,IGI,Cushion,5160.0
Super Ideal,G,VS2,0.58,IGI,Pear,590.0
Ideal,D,VS1,0.51,IGI,Round,796.0
Super Ideal,J,VVS2,1.34,IGI,Round,2200.0
Ideal,E,VS1,0.7,IGI,Pear,1170.0
Very Good,E,SI1,1.54,IGI,Radiant,3730.0
Super Ideal,E,VVS2,1.16,IGI,Round,3295.0
Ideal,D,VS1,0.92,IGI,Emerald,1840.0
Super Ideal,F,SI2,0.34,IGI,Round,360.0
Ideal,H,VS1,1.22,IGI,Round,2554.0
Ideal,F,VS2,1.68,IGI,Round,4530.0
Ideal,E,SI1,2.1,IGI,Emerald,6140.0
Very Good,I,VS2,2.08,GCAL,Emerald,5220.0
Very Good,I,VS2,0.51,IGI,Pear,496.67
Ideal,E,VS1,1.81,GCAL,Princess,6130.0
Very Good,F,VS2,0.39,GCAL,Pear,390.0
Ideal,E,SI1,0.7,GCAL,Oval,980.0
Very Good,D,SI1,0.39,IGI,Pear,400.0
Very Good,E,VS1,2.81,GCAL,Asscher,13960.0
Super Ideal,H,SI1,0.48,IGI,Oval,450.0
Super Ideal,H,VVS2,1.7,IGI,Round,4470.0
Super Ideal,G,SI1,1.1,IGI,Round,2090.0
Ideal,H,VS1,1.6,IGI,Princess,3700.0
Ideal,G,VS2,1.57,GCAL,Cushion,3940.0
Super Ideal,G,VS2,3.0,IGI,Round,15010.0
Super Ideal,D,VVS2,0.44,IGI,Oval,480.0
Super Ideal,F,VS2,1.52,IGI,Round,4156.25
Very Good,H,VVS2,0.8,IGI,Pear,1090.0
Ideal,I,SI1,0.95,GCAL,Round,1260.0
Very Good,E,VS1,0.45,IGI,Pear,470.0
Ideal,I,SI1,1.15,IGI,Round,1868.75
Super Ideal,J,VS1,3.08,IGI,Princess,9460.0
Very Good,E,VS2,1.11,IGI,Oval,2400.0
Very Good,E,VS2,0.71,IGI,Cushion,1100.0
Very Good,F,VS2,0.38,GCAL,Round,550.0
Very Good,G,SI1,0.94,IGI,Pear,1500.0
Very Good,G,VS1,2.24,IGI,Pear,7770.0
Ideal,D,SI1,0.56,GCAL,Round,710.0
Ideal,J,VS1,2.03,GCAL,Round,3980.0
Very Good,E,SI2,1.8,IGI,Round,3770.0
Ideal,J,SI2,1.32,IGI,Round,1670.0
Super Ideal,I,VS2,0.53,IGI,Pear,510.0
Ideal,H,VS2,2.08,GCAL,Princess,5360.0
Very Good,E,VS1,1.27,GCAL,Oval,2950.0
Very Good,E,VS2,1.02,IGI,Cushion,2170.0
Super Ideal,D,VS2,1.1,IGI,Round,2511.67
Super Ideal,G,VS2,1.43,IGI,Pear,3160.0
Ideal,E,SI2,1.33,IGI,Round,2320.0
Ideal,J,VVS2,0.91,IGI,Pear,1110.0
Super Ideal,D,VS1,0.51,IGI,Oval,760.0
